epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1680.46,0.61815,0.30575,0.00401,0.81172,0.77282,0.80726,0.58864,0.98167,0.96738,0.0112,9.72772e-05,9.72772e-05,9.72772e-05
43,1719.56,0.61039,0.29592,0.00395,0.78495,0.78007,0.79307,0.57892,0.98602,0.97105,0.01129,9.60645e-05,9.60645e-05,9.60645e-05
44,1759.5,0.6027,0.29015,0.00389,0.79777,0.78194,0.8035,0.58747,0.9883,0.99113,0.01126,9.48518e-05,9.48518e-05,9.48518e-05
45,1798.62,0.59384,0.28559,0.00384,0.79689,0.7719,0.8003,0.5871,0.97552,0.98332,0.01114,9.3639e-05,9.3639e-05,9.3639e-05
46,1839.13,0.59146,0.28158,0.00382,0.80065,0.78127,0.79822,0.58252,0.9757,0.99971,0.0111,9.24263e-05,9.24263e-05,9.24263e-05
47,1879.51,0.57427,0.27204,0.0037,0.80305,0.78437,0.79605,0.58377,0.97409,1.01949,0.01106,9.12135e-05,9.12135e-05,9.12135e-05
48,1918.89,0.57088,0.26522,0.00367,0.8025,0.78129,0.80054,0.58525,0.97082,1.0065,0.01105,9.00008e-05,9.00008e-05,9.00008e-05
49,1959.33,0.56852,0.26339,0.00365,0.82263,0.77382,0.80102,0.58944,0.96474,0.98969,0.011,8.8788e-05,8.8788e-05,8.8788e-05
50,2000.12,0.55996,0.25622,0.0036,0.81067,0.77004,0.79238,0.58161,0.97779,1.02633,0.01111,8.75752e-05,8.75752e-05,8.75752e-05
51,2040.18,0.55555,0.25433,0.00357,0.82559,0.77092,0.8026,0.58859,0.97411,1.00611,0.01107,8.63625e-05,8.63625e-05,8.63625e-05
52,2079.93,0.54347,0.25159,0.0035,0.80562,0.78424,0.80263,0.59016,0.97482,1.00972,0.0111,8.51497e-05,8.51497e-05,8.51497e-05
53,2120.86,0.54034,0.24731,0.00346,0.81627,0.76129,0.7951,0.58559,0.97803,1.01814,0.01118,8.3937e-05,8.3937e-05,8.3937e-05
54,2160.83,0.53419,0.24449,0.00342,0.80456,0.77441,0.78981,0.58097,0.98663,1.04224,0.01132,8.27242e-05,8.27242e-05,8.27242e-05
55,2201.09,0.53254,0.2431,0.00342,0.81221,0.77677,0.78789,0.57823,0.98616,1.05789,0.01127,8.15115e-05,8.15115e-05,8.15115e-05
56,2242.06,0.52433,0.24149,0.00335,0.81841,0.76144,0.78895,0.57879,0.97811,1.07177,0.01115,8.02988e-05,8.02988e-05,8.02988e-05
57,2282.46,0.51802,0.23833,0.0033,0.81094,0.77625,0.7939,0.58229,0.98245,1.06446,0.01125,7.9086e-05,7.9086e-05,7.9086e-05
58,2322.71,0.50942,0.23388,0.00325,0.78974,0.78629,0.78883,0.58167,0.97182,1.05606,0.01104,7.78733e-05,7.78733e-05,7.78733e-05
59,2362.67,0.50506,0.2331,0.00322,0.79394,0.79202,0.79336,0.5849,0.97932,1.05922,0.01119,7.66605e-05,7.66605e-05,7.66605e-05
