epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.792,1.10666,3.09707,0.00553,0.36657,0.35184,0.24951,0.16781,1.91384,2.78604,0.02264,4.89216e-05,4.89216e-05,4.89216e-05
2,431.309,0.89148,0.87228,0.00421,0.40237,0.39396,0.27389,0.18114,1.91446,2.99761,0.02218,9.30745e-05,9.30745e-05,9.30745e-05
3,627.625,0.84831,0.6331,0.00397,0.4303,0.39488,0.27593,0.17798,1.94541,3.16358,0.0233,0.000132376,0.000132376,0.000132376
4,823.614,0.82449,0.53886,0.00385,0.41563,0.41196,0.29114,0.18508,1.90261,3.28641,0.02273,0.000125171,0.000125171,0.000125171
5,1021.58,0.80689,0.47756,0.00376,0.43749,0.39994,0.29684,0.19628,1.88573,3.27738,0.02243,0.000117894,0.000117894,0.000117894
6,1291.48,0.788,0.43902,0.00366,0.39889,0.41002,0.28908,0.18882,1.89728,3.30605,0.02318,0.000110617,0.000110617,0.000110617
7,1490.06,0.77807,0.41379,0.0036,0.40522,0.42656,0.3019,0.1942,1.91425,3.28114,0.02358,0.000103341,0.000103341,0.000103341
8,1687.55,0.76648,0.39226,0.00354,0.41353,0.40728,0.29272,0.19367,1.92414,3.19907,0.02421,9.60645e-05,9.60645e-05,9.60645e-05
9,1887.35,0.75755,0.37686,0.00349,0.409,0.40436,0.2902,0.19256,1.92648,3.29121,0.02445,8.8788e-05,8.8788e-05,8.8788e-05
