epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,401.783,0.71839,1.78731,0.00394,0.44521,0.30864,0.23483,0.15814,2.02402,3.69609,0.02299,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,740.571,0.65246,0.36036,0.00349,0.49467,0.26242,0.21253,0.13852,2.06123,4.0839,0.02409,0.0194894,0.00649647,0.0194894,0.00649647,0.0194894,0.00649647,0.0194894,0.00649647
