epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,287.645,0.9425,0.94911,0.00457,0.71911,0.70407,0.75878,0.58304,0.92639,1.00884,0.00875,0.000127111,0.000127111,0.000127111
43,293.786,0.91397,0.90802,0.00438,0.6565,0.73362,0.74579,0.56591,0.96268,1.02386,0.0092,0.000126626,0.000126626,0.000126626
44,299.978,0.92915,0.92809,0.00445,0.66861,0.71538,0.73883,0.57127,0.91702,1.00474,0.00881,0.000126141,0.000126141,0.000126141
45,306.134,0.91368,0.89174,0.00442,0.6555,0.74551,0.76137,0.57254,0.97091,1.00644,0.00926,0.000125656,0.000125656,0.000125656
46,312.32,0.9281,0.91368,0.00441,0.66537,0.70858,0.73701,0.56693,0.91056,1.03706,0.00881,0.000125171,0.000125171,0.000125171
47,318.422,0.90715,0.85877,0.00439,0.70081,0.7115,0.76735,0.59779,0.90444,0.98713,0.00867,0.000124685,0.000124685,0.000124685
48,324.481,0.90774,0.86645,0.00447,0.65965,0.72641,0.75205,0.57679,0.90702,1.01524,0.00865,0.0001242,0.0001242,0.0001242
49,330.438,0.90676,0.87694,0.00436,0.71726,0.70125,0.75587,0.58262,0.91205,1.01423,0.00878,0.000123715,0.000123715,0.000123715
50,336.424,0.88953,0.85293,0.00425,0.68562,0.71493,0.74683,0.58125,0.89384,1.04452,0.00854,0.00012323,0.00012323,0.00012323
51,342.31,0.87339,0.8016,0.00425,0.65018,0.71649,0.72902,0.56512,0.90048,1.06777,0.00872,0.000122745,0.000122745,0.000122745
52,348.299,0.90242,0.83548,0.00434,0.66645,0.70612,0.72925,0.56697,0.88349,1.08838,0.00848,0.00012226,0.00012226,0.00012226
53,354.299,0.87176,0.7953,0.00433,0.73514,0.67094,0.75458,0.57811,0.91585,1.04483,0.00888,0.000121775,0.000121775,0.000121775
54,360.344,0.88423,0.79867,0.00423,0.71511,0.69443,0.74547,0.56953,0.90755,1.08034,0.00877,0.00012129,0.00012129,0.00012129
55,366.343,0.91035,0.8277,0.00438,0.71043,0.70088,0.75073,0.5687,0.9165,1.05059,0.00898,0.000120805,0.000120805,0.000120805
