epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2889,2.19765,5.36199,0.01576,0.00753,0.24447,0.00552,0.00276,1.73914,4.31564,0.01592,4.80926e-05,4.80926e-05,4.80926e-05
2,55.9361,1.72936,3.67918,0.01082,0.33858,0.14524,0.1298,0.08134,1.54132,2.88503,0.01363,9.62916e-05,9.62916e-05,9.62916e-05
3,76.8207,1.58578,2.58344,0.00973,0.44825,0.3789,0.36919,0.24246,1.38311,2.04902,0.01215,0.000143682,0.000143682,0.000143682
4,97.6397,1.4852,2.03318,0.00887,0.5825,0.51101,0.53053,0.36391,1.27584,1.62384,0.01105,0.000143362,0.000143362,0.000143362
5,118.206,1.42457,1.77212,0.0085,0.66093,0.5707,0.60867,0.42334,1.22732,1.40765,0.01058,0.000142149,0.000142149,0.000142149
6,139.345,1.37854,1.60717,0.00813,0.72472,0.61547,0.66833,0.46259,1.19986,1.22697,0.01031,0.000140936,0.000140936,0.000140936
7,160.651,1.34382,1.49222,0.00784,0.72224,0.64998,0.7014,0.48979,1.16871,1.13007,0.01001,0.000139723,0.000139723,0.000139723
8,181.891,1.3209,1.41296,0.00765,0.74827,0.65631,0.71697,0.49606,1.18406,1.06796,0.01017,0.000138511,0.000138511,0.000138511
9,203.168,1.30056,1.34852,0.00756,0.76489,0.6837,0.74308,0.5271,1.11677,1.00793,0.00957,0.000137298,0.000137298,0.000137298
10,224.265,1.2792,1.29415,0.00745,0.78793,0.68826,0.75725,0.53482,1.11431,0.97529,0.00956,0.000136085,0.000136085,0.000136085
11,245.847,1.27844,1.25961,0.00736,0.78178,0.71348,0.77387,0.55287,1.07963,0.91592,0.00922,0.000134872,0.000134872,0.000134872
12,267.066,1.2479,1.22058,0.00723,0.78439,0.70998,0.77342,0.54792,1.08745,0.93981,0.00926,0.00013366,0.00013366,0.00013366
13,288.265,1.24373,1.1833,0.00716,0.77936,0.72896,0.7835,0.56103,1.07048,0.88694,0.00908,0.000132447,0.000132447,0.000132447
14,309.556,1.23012,1.15842,0.00706,0.78032,0.73309,0.79128,0.56154,1.0803,0.85778,0.00922,0.000131234,0.000131234,0.000131234
15,331.572,1.22139,1.14639,0.00699,0.79189,0.7234,0.78715,0.56204,1.07013,0.88161,0.00903,0.000130022,0.000130022,0.000130022
16,353.76,1.21013,1.12309,0.00684,0.81118,0.73216,0.80087,0.57541,1.04938,0.83131,0.00887,0.000128809,0.000128809,0.000128809
17,375.571,1.18581,1.08157,0.00679,0.7904,0.74596,0.79878,0.57063,1.06484,0.84113,0.00906,0.000127596,0.000127596,0.000127596
18,396.835,1.1851,1.07452,0.00681,0.80317,0.74659,0.8038,0.57752,1.0537,0.82712,0.00899,0.000126383,0.000126383,0.000126383
19,418.038,1.17847,1.05984,0.00672,0.79966,0.74707,0.8068,0.57697,1.05996,0.81435,0.00894,0.000125171,0.000125171,0.000125171
20,439.116,1.17499,1.05543,0.00665,0.79564,0.76014,0.80796,0.58169,1.0369,0.79542,0.00882,0.000123958,0.000123958,0.000123958
21,460.188,1.17107,1.05144,0.00669,0.81375,0.75473,0.81286,0.58149,1.05161,0.79916,0.00891,0.000122745,0.000122745,0.000122745
22,480.537,1.15898,1.0234,0.00654,0.79414,0.7607,0.81277,0.58575,1.02855,0.78798,0.00865,0.000121532,0.000121532,0.000121532
23,501.411,1.15154,1.01358,0.00658,0.79283,0.76015,0.81779,0.59033,1.01847,0.77194,0.00861,0.000120319,0.000120319,0.000120319
24,522.369,1.14973,1.00837,0.00645,0.81474,0.74958,0.81736,0.57978,1.06915,0.78493,0.00899,0.000119107,0.000119107,0.000119107
25,542.992,1.1399,0.99401,0.00648,0.7922,0.76562,0.82162,0.59028,1.034,0.77236,0.00873,0.000117894,0.000117894,0.000117894
26,563.442,1.14194,0.99979,0.00646,0.80933,0.76116,0.81769,0.5882,1.02988,0.77105,0.00872,0.000116681,0.000116681,0.000116681
27,584.259,1.13502,0.98932,0.00637,0.79892,0.76688,0.81994,0.59133,1.02417,0.77015,0.00863,0.000115468,0.000115468,0.000115468
28,605.573,1.1217,0.96612,0.00636,0.80677,0.77791,0.82418,0.59849,1.01178,0.74701,0.00856,0.000114256,0.000114256,0.000114256
29,627.159,1.11991,0.96122,0.00633,0.81594,0.76224,0.82663,0.59643,1.01616,0.75771,0.00858,0.000113043,0.000113043,0.000113043
30,648.823,1.11684,0.9576,0.00624,0.80438,0.76395,0.82527,0.59687,1.01107,0.75146,0.00853,0.00011183,0.00011183,0.00011183
31,669.975,1.10798,0.93515,0.00623,0.80317,0.7725,0.82611,0.59921,1.00107,0.74593,0.00844,0.000110617,0.000110617,0.000110617
32,690.696,1.1011,0.93535,0.00615,0.80732,0.77242,0.82,0.59539,1.01177,0.74781,0.00851,0.000109405,0.000109405,0.000109405
33,711.3,1.10141,0.93074,0.00619,0.81953,0.75555,0.82215,0.59689,1.00186,0.74455,0.0084,0.000108192,0.000108192,0.000108192
34,732.518,1.08435,0.92058,0.0061,0.80662,0.77408,0.82467,0.59653,1.00542,0.74507,0.00845,0.000106979,0.000106979,0.000106979
35,754.438,1.08939,0.91506,0.00609,0.80973,0.7593,0.82026,0.59563,1.00107,0.75118,0.00848,0.000105766,0.000105766,0.000105766
36,776.726,1.08728,0.91004,0.00611,0.79652,0.77433,0.82168,0.59608,1.00254,0.74524,0.00846,0.000104554,0.000104554,0.000104554
37,1081.13,1.08053,0.90354,0.00607,0.81124,0.76619,0.82317,0.58802,1.03813,0.7434,0.00875,0.000103341,0.000103341,0.000103341
38,1142.97,1.07626,0.90267,0.006,0.81073,0.76204,0.8222,0.59608,1.00822,0.75033,0.00853,0.000102128,0.000102128,0.000102128
39,1204.61,1.07861,0.89102,0.00597,0.79941,0.78306,0.82617,0.59592,1.0272,0.72891,0.00864,0.000100915,0.000100915,0.000100915
40,1266.53,1.06702,0.88356,0.00593,0.81051,0.76213,0.82226,0.60215,0.99053,0.74194,0.00832,9.97028e-05,9.97028e-05,9.97028e-05
41,1330.38,1.06269,0.88294,0.00594,0.80121,0.7737,0.82613,0.60098,1.00714,0.7335,0.00851,9.849e-05,9.849e-05,9.849e-05
42,1389.41,1.06197,0.87494,0.0059,0.79958,0.77533,0.82211,0.59617,1.00399,0.74929,0.00849,9.72772e-05,9.72772e-05,9.72772e-05
43,1451.67,1.0675,0.87934,0.00594,0.80338,0.77541,0.82192,0.59701,1.0015,0.74339,0.00844,9.60645e-05,9.60645e-05,9.60645e-05
44,1512.68,1.04935,0.85886,0.00583,0.80435,0.76484,0.82075,0.59598,1.00077,0.74993,0.00843,9.48518e-05,9.48518e-05,9.48518e-05
45,1573.85,1.05095,0.85432,0.00583,0.82136,0.75947,0.82384,0.59674,1.00427,0.72922,0.00843,9.3639e-05,9.3639e-05,9.3639e-05
46,1634.78,1.04479,0.85254,0.00586,0.81272,0.77412,0.82493,0.59966,1.00029,0.74077,0.00846,9.24263e-05,9.24263e-05,9.24263e-05
47,1694.51,1.03494,0.83289,0.00577,0.81432,0.77018,0.82615,0.60426,0.98384,0.72458,0.00827,9.12135e-05,9.12135e-05,9.12135e-05
48,1755.53,1.03875,0.83586,0.00575,0.80297,0.77099,0.82082,0.5974,0.99647,0.74445,0.00837,9.00008e-05,9.00008e-05,9.00008e-05
49,1817.72,1.02932,0.82452,0.00576,0.79173,0.78958,0.8245,0.60353,0.98326,0.73568,0.00823,8.8788e-05,8.8788e-05,8.8788e-05
50,1879.88,1.04137,0.83433,0.00578,0.80779,0.78027,0.82367,0.60121,0.99387,0.74297,0.00837,8.75752e-05,8.75752e-05,8.75752e-05
51,1942.71,1.02675,0.81943,0.00567,0.8167,0.76052,0.82282,0.59915,0.99617,0.74236,0.00837,8.63625e-05,8.63625e-05,8.63625e-05
52,2005.16,1.02806,0.82994,0.0057,0.81557,0.77441,0.82544,0.60209,0.98244,0.73686,0.00828,8.51497e-05,8.51497e-05,8.51497e-05
53,2067.81,1.02698,0.8191,0.00568,0.8194,0.77878,0.82398,0.60029,0.99397,0.7371,0.00839,8.3937e-05,8.3937e-05,8.3937e-05
54,2131.72,1.01777,0.80579,0.00562,0.81594,0.76803,0.8196,0.58992,1.01222,0.76275,0.0085,8.27242e-05,8.27242e-05,8.27242e-05
55,2194.4,1.00748,0.78196,0.0056,0.81294,0.7496,0.8191,0.59618,0.9948,0.75424,0.00836,8.15115e-05,8.15115e-05,8.15115e-05
56,2254.08,1.00282,0.78721,0.00555,0.80578,0.77952,0.81977,0.59847,0.98669,0.7582,0.00834,8.02988e-05,8.02988e-05,8.02988e-05
57,2314.42,1.00381,0.78441,0.00558,0.79003,0.78537,0.82193,0.59997,0.9832,0.75556,0.00828,7.9086e-05,7.9086e-05,7.9086e-05
58,2375.51,1.00395,0.7838,0.00549,0.81215,0.76514,0.82099,0.59478,1.00382,0.75695,0.00844,7.78733e-05,7.78733e-05,7.78733e-05
59,2435.98,0.99739,0.782,0.00553,0.7917,0.78612,0.82031,0.59686,0.98986,0.75461,0.00832,7.66605e-05,7.66605e-05,7.66605e-05
60,2495.64,1.00227,0.77913,0.00548,0.81694,0.76009,0.81949,0.59876,0.98944,0.7502,0.0083,7.54477e-05,7.54477e-05,7.54477e-05
61,2555.9,1.00003,0.77202,0.00551,0.80625,0.77185,0.81984,0.59451,0.99765,0.76368,0.00838,7.4235e-05,7.4235e-05,7.4235e-05
62,2616.24,0.99068,0.75783,0.00544,0.82165,0.75576,0.82105,0.59394,0.99795,0.76169,0.0084,7.30222e-05,7.30222e-05,7.30222e-05
63,2675.94,0.99451,0.77065,0.00548,0.81098,0.76585,0.81575,0.59468,0.97906,0.7604,0.00825,7.18095e-05,7.18095e-05,7.18095e-05
64,2736.04,0.98469,0.75146,0.00538,0.81193,0.76757,0.81921,0.59951,0.97659,0.76456,0.00821,7.05967e-05,7.05967e-05,7.05967e-05
65,2796.21,0.9917,0.76132,0.00543,0.80079,0.7764,0.81588,0.59369,0.99317,0.76802,0.00835,6.9384e-05,6.9384e-05,6.9384e-05
66,2856.82,0.97748,0.74265,0.00535,0.78285,0.78226,0.81446,0.58916,1.00013,0.77075,0.00841,6.81712e-05,6.81712e-05,6.81712e-05
67,2917.11,0.9744,0.73925,0.00533,0.79469,0.78181,0.81358,0.59076,0.99807,0.77863,0.00841,6.69585e-05,6.69585e-05,6.69585e-05
68,2976.2,0.96889,0.73291,0.00533,0.79657,0.76629,0.81201,0.59104,0.98659,0.7717,0.00831,6.57457e-05,6.57457e-05,6.57457e-05
69,3035.15,0.9709,0.73757,0.00534,0.80592,0.77301,0.81089,0.59085,0.98513,0.7835,0.0083,6.4533e-05,6.4533e-05,6.4533e-05
70,3092.71,0.96953,0.73393,0.00528,0.80766,0.77515,0.81334,0.59201,0.98261,0.77752,0.00827,6.33203e-05,6.33203e-05,6.33203e-05
71,3152.54,0.96945,0.73195,0.00526,0.79429,0.77618,0.81344,0.5921,0.97884,0.77693,0.00824,6.21075e-05,6.21075e-05,6.21075e-05
72,3212.28,0.95643,0.71553,0.00528,0.80756,0.77656,0.8161,0.59283,0.99181,0.78202,0.00831,6.08948e-05,6.08948e-05,6.08948e-05
73,3271.9,0.96341,0.72297,0.00527,0.81985,0.76299,0.81505,0.59501,0.98114,0.77334,0.00825,5.9682e-05,5.9682e-05,5.9682e-05
74,3331.08,0.96292,0.72391,0.00522,0.81582,0.76207,0.81373,0.59365,0.97343,0.78309,0.00818,5.84693e-05,5.84693e-05,5.84693e-05
75,3392.49,0.95438,0.70859,0.00523,0.80853,0.77942,0.81498,0.59415,0.97707,0.7845,0.00824,5.72565e-05,5.72565e-05,5.72565e-05
76,3451.72,0.94826,0.70905,0.00521,0.81142,0.76574,0.81032,0.59228,0.96782,0.79147,0.00814,5.60437e-05,5.60437e-05,5.60437e-05
77,3511.58,0.94757,0.70372,0.00516,0.81126,0.77195,0.81109,0.59025,0.98215,0.79607,0.00828,5.4831e-05,5.4831e-05,5.4831e-05
78,3571.15,0.94894,0.70797,0.00519,0.80515,0.77397,0.81047,0.59048,0.97629,0.79884,0.00821,5.36182e-05,5.36182e-05,5.36182e-05
79,3630.58,0.94996,0.70875,0.00519,0.81776,0.75976,0.80961,0.58605,0.98771,0.80595,0.00828,5.24055e-05,5.24055e-05,5.24055e-05
80,3689.82,0.95224,0.70526,0.00519,0.78431,0.79241,0.81293,0.59003,0.98864,0.80058,0.00829,5.11927e-05,5.11927e-05,5.11927e-05
81,3750.17,0.93968,0.69697,0.00516,0.80954,0.76207,0.81262,0.59216,0.98031,0.79985,0.00828,4.998e-05,4.998e-05,4.998e-05
82,3809.66,0.94032,0.69563,0.00511,0.81404,0.77033,0.81059,0.59082,0.98819,0.79903,0.00834,4.87672e-05,4.87672e-05,4.87672e-05
83,3870.24,0.92929,0.67467,0.0051,0.81393,0.76939,0.80976,0.59015,0.97954,0.80282,0.00825,4.75545e-05,4.75545e-05,4.75545e-05
84,3929.9,0.93258,0.69092,0.00509,0.80504,0.76812,0.80739,0.58987,0.98186,0.80524,0.00826,4.63418e-05,4.63418e-05,4.63418e-05
85,3989.47,0.92803,0.69378,0.00507,0.79698,0.7728,0.80812,0.58916,0.9839,0.80956,0.00831,4.5129e-05,4.5129e-05,4.5129e-05
86,4048.61,0.93137,0.68626,0.00508,0.79859,0.78549,0.80817,0.58763,0.98418,0.82178,0.00831,4.39162e-05,4.39162e-05,4.39162e-05
87,4108.57,0.92325,0.67816,0.00501,0.80137,0.77527,0.80946,0.58912,0.98438,0.81892,0.00829,4.27035e-05,4.27035e-05,4.27035e-05
